n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
2,1000,2000,0.13,0.6,0.0884
2,1000,2000,0.17,0.65,0.0809
2,1000,2000,0.21,0.7,0.0841
2,1000,2000,0.27,0.75,0.1005
2,1000,2000,0.34,0.8,0.1106
2,1000,2000,0.43,0.85,0.1197
2,1000,2000,0.55,0.9,0.1121
2,1000,2000,0.57,0.91,0.1189
2,1000,2000,0.6,0.92,0.1254
2,1000,2000,0.63,0.93,0.1076
2,1000,2000,0.68,0.94,0.1484
2,1000,2000,0.71,0.95,0.1264
2,1000,2000,0.75,0.96,0.1337
2,1000,2000,0.8,0.97,0.127
2,1000,2000,0.85,0.98,0.1227
2,1000,2000,0.91,0.99,0.1342
2,1000,2000,1,1,0.1497
2,1000,2000,0.13,0.6,0.0854
2,1000,2000,0.17,0.65,0.087
2,1000,2000,0.21,0.7,0.0914
2,1000,2000,0.27,0.75,0.0944
2,1000,2000,0.34,0.8,0.1178
2,1000,2000,0.43,0.85,0.1048
2,1000,2000,0.55,0.9,0.1121
2,1000,2000,0.57,0.91,0.1434
2,1000,2000,0.6,0.92,0.1134
2,1000,2000,0.63,0.93,0.1306
2,1000,2000,0.68,0.94,0.1591
2,1000,2000,0.71,0.95,0.133
2,1000,2000,0.75,0.96,0.1516
2,1000,2000,0.8,0.97,0.123
2,1000,2000,0.85,0.98,0.1423
2,1000,2000,0.91,0.99,0.1548
2,1000,2000,1,1,0.1547
2,1000,2000,0.13,0.6,0.091
2,1000,2000,0.17,0.65,0.0756
2,1000,2000,0.21,0.7,0.0891
2,1000,2000,0.27,0.75,0.101
2,1000,2000,0.34,0.8,0.1176
2,1000,2000,0.43,0.85,0.1155
2,1000,2000,0.55,0.9,0.1153
2,1000,2000,0.57,0.91,0.1374
2,1000,2000,0.6,0.92,0.1071
2,1000,2000,0.63,0.93,0.1206
2,1000,2000,0.68,0.94,0.1523
2,1000,2000,0.71,0.95,0.1335
2,1000,2000,0.75,0.96,0.1507
2,1000,2000,0.8,0.97,0.1267
2,1000,2000,0.85,0.98,0.1424
2,1000,2000,0.91,0.99,0.1496
2,1000,2000,1,1,0.1484
2,5000,10000,0.13,0.6,0.3558
2,5000,10000,0.17,0.65,0.3444
2,5000,10000,0.21,0.7,0.3387
2,5000,10000,0.27,0.75,0.3842
2,5000,10000,0.34,0.8,0.407
2,5000,10000,0.43,0.85,0.4753
2,5000,10000,0.55,0.9,0.5152
2,5000,10000,0.57,0.91,0.5095
2,5000,10000,0.6,0.92,0.5038
2,5000,10000,0.63,0.93,0.5253
2,5000,10000,0.68,0.94,0.5197
2,5000,10000,0.71,0.95,0.585
2,5000,10000,0.75,0.96,0.5834
2,5000,10000,0.8,0.97,0.5828
2,5000,10000,0.85,0.98,0.5849
2,5000,10000,0.91,0.99,0.6144
2,5000,10000,1,1,0.6405
2,5000,10000,0.13,0.6,0.3407
2,5000,10000,0.17,0.65,0.3439
2,5000,10000,0.21,0.7,0.3463
2,5000,10000,0.27,0.75,0.368
2,5000,10000,0.34,0.8,0.4044
2,5000,10000,0.43,0.85,0.4602
2,5000,10000,0.55,0.9,0.5014
2,5000,10000,0.57,0.91,0.4941
2,5000,10000,0.6,0.92,0.5053
2,5000,10000,0.63,0.93,0.5455
2,5000,10000,0.68,0.94,0.5329
2,5000,10000,0.71,0.95,0.5458
2,5000,10000,0.75,0.96,0.5963
2,5000,10000,0.8,0.97,0.5614
2,5000,10000,0.85,0.98,0.6051
2,5000,10000,0.91,0.99,0.585
2,5000,10000,1,1,0.6125
2,5000,10000,0.13,0.6,0.3237
2,5000,10000,0.17,0.65,0.3385
2,5000,10000,0.21,0.7,0.3382
2,5000,10000,0.27,0.75,0.3757
2,5000,10000,0.34,0.8,0.3754
2,5000,10000,0.43,0.85,0.4223
2,5000,10000,0.55,0.9,0.4624
2,5000,10000,0.57,0.91,0.4796
2,5000,10000,0.6,0.92,0.4895
2,5000,10000,0.63,0.93,0.5158
2,5000,10000,0.68,0.94,0.5245
2,5000,10000,0.71,0.95,0.5062
2,5000,10000,0.75,0.96,0.5712
2,5000,10000,0.8,0.97,0.5694
2,5000,10000,0.85,0.98,0.5888
2,5000,10000,0.91,0.99,0.6164
2,5000,10000,1,1,0.6297
2,10000,20000,0.13,0.6,0.5937
2,10000,20000,0.17,0.65,0.6279
2,10000,20000,0.21,0.7,0.6337
2,10000,20000,0.27,0.75,0.6301
2,10000,20000,0.34,0.8,0.6698
2,10000,20000,0.43,0.85,0.6666
2,10000,20000,0.55,0.9,0.6862
2,10000,20000,0.57,0.91,0.6854
2,10000,20000,0.6,0.92,0.7102
2,10000,20000,0.63,0.93,0.7056
2,10000,20000,0.68,0.94,0.7053
2,10000,20000,0.71,0.95,0.7032
2,10000,20000,0.75,0.96,0.7137
2,10000,20000,0.8,0.97,0.724
2,10000,20000,0.85,0.98,0.6989
2,10000,20000,0.91,0.99,0.7319
2,10000,20000,1,1,0.7385
2,10000,20000,0.13,0.6,0.56
2,10000,20000,0.17,0.65,0.5633
2,10000,20000,0.21,0.7,0.6041
2,10000,20000,0.27,0.75,0.6333
2,10000,20000,0.34,0.8,0.6607
2,10000,20000,0.43,0.85,0.6561
2,10000,20000,0.55,0.9,0.6754
2,10000,20000,0.57,0.91,0.6772
2,10000,20000,0.6,0.92,0.6887
2,10000,20000,0.63,0.93,0.6965
2,10000,20000,0.68,0.94,0.6909
2,10000,20000,0.71,0.95,0.7
2,10000,20000,0.75,0.96,0.7121
2,10000,20000,0.8,0.97,0.7124
2,10000,20000,0.85,0.98,0.7087
2,10000,20000,0.91,0.99,0.732
2,10000,20000,1,1,0.7414
2,10000,20000,0.13,0.6,0.5797
2,10000,20000,0.17,0.65,0.5616
2,10000,20000,0.21,0.7,0.5752
2,10000,20000,0.27,0.75,0.6115
2,10000,20000,0.34,0.8,0.6372
2,10000,20000,0.43,0.85,0.6562
2,10000,20000,0.55,0.9,0.6591
2,10000,20000,0.57,0.91,0.6666
